Species	M	R	logM	logR
S_rufus	0.0038	1.5	-5.5727542122498	0.405465108108164
C_minor	0.075	9.5	-2.59026716544583	2.2512917986065
C_palumbus	0.150	17.0	-1.897	2.8
C_virginianus	0.194	23.0	-1.63989711991881	3.1
A_sponsa	0.485	65	-0.723606388044654	4.17438726989564
G_pacificus	1.21	127	0.19062035960865	4.84418708645859
B_virginianus	1.450	108	0.372	4.68213122712422
M_americana	2.5	201	0.916290731874155	5.30330490805908
P_occidentalis	3.51	264	1.25561603747777	5.57594910314632
G_canadensis	3.89	168	1.35840915763035	5.12396397940326
C_buccinator	8.88	418	2.18380155700408	6.03548143252476
V_gryphus	10.32	351	2.33408376005342	5.86078622346587
