t	x1	x2	x3	x4
0.000000	-5.000000	-0.200000	0.200000	5.000000
0.010000	-4.397451	-0.218739	0.218739	4.397451
0.020000	-4.032502	-0.239213	0.239213	4.032502
0.030000	-3.788612	-0.261577	0.261577	3.788612
0.040000	-3.615614	-0.285996	0.285996	3.615614
0.050000	-3.487953	-0.312650	0.312650	3.487953
0.060000	-3.391091	-0.341728	0.341728	3.391091
0.070000	-3.316087	-0.373432	0.373432	3.316087
0.080000	-3.257112	-0.407977	0.407977	3.257112
0.090000	-3.210192	-0.445586	0.445586	3.210192
0.100000	-3.172518	-0.486492	0.486492	3.172518
0.110000	-3.142046	-0.530932	0.530932	3.142046
0.120000	-3.117255	-0.579146	0.579146	3.117255
0.130000	-3.096992	-0.631370	0.631370	3.096992
0.140000	-3.080367	-0.687831	0.687831	3.080367
0.150000	-3.066683	-0.748736	0.748736	3.066683
0.160000	-3.055392	-0.814262	0.814262	3.055392
0.170000	-3.046056	-0.884542	0.884542	3.046056
0.180000	-3.038323	-0.959651	0.959651	3.038323
0.190000	-3.031909	-1.039588	1.039588	3.031909
0.200000	-3.026583	-1.124256	1.124256	3.026583
0.210000	-3.022155	-1.213443	1.213443	3.022155
0.220000	-3.018472	-1.306803	1.306803	3.018472
0.230000	-3.015406	-1.403844	1.403844	3.015406
0.240000	-3.012851	-1.503919	1.503919	3.012851
0.250000	-3.010723	-1.606227	1.606227	3.010723
0.260000	-3.008949	-1.709824	1.709824	3.008949
0.270000	-3.007469	-1.813654	1.813654	3.007469
0.280000	-3.006235	-1.916582	1.916582	3.006235
0.290000	-3.005205	-2.017451	2.017451	3.005205
0.300000	-3.004346	-2.115134	2.115134	3.004346
0.310000	-3.003629	-2.208597	2.208597	3.003629
0.320000	-3.003030	-2.296946	2.296946	3.003030
0.330000	-3.002530	-2.379472	2.379472	3.002530
0.340000	-3.002113	-2.455673	2.455673	3.002113
0.350000	-3.001765	-2.525262	2.525262	3.001765
0.360000	-3.001474	-2.588155	2.588155	3.001474
0.370000	-3.001231	-2.644452	2.644452	3.001231
0.380000	-3.001028	-2.694401	2.694401	3.001028
0.390000	-3.000859	-2.738364	2.738364	3.000859
0.400000	-3.000717	-2.776782	2.776782	3.000717
0.410000	-3.000599	-2.810142	2.810142	3.000599
0.420000	-3.000500	-2.838948	2.838948	3.000500
0.430000	-3.000418	-2.863700	2.863700	3.000418
0.440000	-3.000349	-2.884878	2.884878	3.000349
0.450000	-3.000291	-2.902932	2.902932	3.000291
0.460000	-3.000243	-2.918275	2.918275	3.000243
0.470000	-3.000203	-2.931279	2.931279	3.000203
0.480000	-3.000170	-2.942275	2.942275	3.000170
0.490000	-3.000142	-2.951555	2.951555	3.000142
0.500000	-3.000119	-2.959374	2.959374	3.000119
0.510000	-3.000099	-2.965953	2.965953	3.000099
0.520000	-3.000083	-2.971482	2.971482	3.000083
0.530000	-3.000069	-2.976123	2.976123	3.000069
0.540000	-3.000058	-2.980017	2.980017	3.000058
0.550000	-3.000048	-2.983282	2.983282	3.000048
0.560000	-3.000040	-2.986016	2.986016	3.000040
0.570000	-3.000034	-2.988306	2.988306	3.000034
0.580000	-3.000028	-2.990223	2.990223	3.000028
0.590000	-3.000023	-2.991827	2.991827	3.000023
0.600000	-3.000020	-2.993169	2.993169	3.000020
0.610000	-3.000016	-2.994291	2.994291	3.000016
0.620000	-3.000014	-2.995229	2.995229	3.000014
0.630000	-3.000011	-2.996013	2.996013	3.000011
0.640000	-3.000010	-2.996669	2.996669	3.000010
0.650000	-3.000008	-2.997217	2.997217	3.000008
0.660000	-3.000007	-2.997675	2.997675	3.000007
0.670000	-3.000006	-2.998058	2.998058	3.000006
0.680000	-3.000005	-2.998377	2.998377	3.000005
0.690000	-3.000004	-2.998644	2.998644	3.000004
0.700000	-3.000003	-2.998868	2.998868	3.000003
0.710000	-3.000003	-2.999054	2.999054	3.000003
0.720000	-3.000002	-2.999210	2.999210	3.000002
0.730000	-3.000002	-2.999340	2.999340	3.000002
0.740000	-3.000002	-2.999449	2.999449	3.000002
0.750000	-3.000001	-2.999539	2.999539	3.000001
0.760000	-3.000001	-2.999615	2.999615	3.000001
0.770000	-3.000001	-2.999679	2.999679	3.000001
0.780000	-3.000001	-2.999732	2.999732	3.000001
0.790000	-3.000001	-2.999776	2.999776	3.000001
0.800000	-3.000001	-2.999813	2.999813	3.000001
0.810000	-3.000000	-2.999844	2.999844	3.000000
0.820000	-3.000000	-2.999869	2.999869	3.000000
0.830000	-3.000000	-2.999891	2.999891	3.000000
0.840000	-3.000000	-2.999909	2.999909	3.000000
0.850000	-3.000000	-2.999924	2.999924	3.000000
0.860000	-3.000000	-2.999936	2.999936	3.000000
0.870000	-3.000000	-2.999947	2.999947	3.000000
0.880000	-3.000000	-2.999956	2.999956	3.000000
0.890000	-3.000000	-2.999963	2.999963	3.000000
0.900000	-3.000000	-2.999969	2.999969	3.000000
0.910000	-3.000000	-2.999974	2.999974	3.000000
0.920000	-3.000000	-2.999978	2.999978	3.000000
0.930000	-3.000000	-2.999982	2.999982	3.000000
0.940000	-3.000000	-2.999985	2.999985	3.000000
0.950000	-3.000000	-2.999987	2.999987	3.000000
0.960000	-3.000000	-2.999989	2.999989	3.000000
0.970000	-3.000000	-2.999991	2.999991	3.000000
0.980000	-3.000000	-2.999993	2.999993	3.000000
0.990000	-3.000000	-2.999994	2.999994	3.000000
1.000000	-3.000000	-2.999995	2.999995	3.000000
