Y P B D
1991 2.530E8 4.111E6 2.170E6
1992 2.565E8 4.065E6 2.176E6
1993 2.599E8 4.000E6 2.269E6
1994 2.631E8 3.953E6 2.279E6
1995 2.663E8 3.900E6 2.312E6
1996 2.694E8 3.891E6 2.315E6
1997 2.727E8 3.881E6 2.314E6
1998 2.758E8 3.942E6 2.337E6
1999 2.790E8 3.959E6 2.391E6
2000 2.822E8 4.059E6 2.403E6
2001 2.850E8 4.026E6 2.416E6
2002 2.876E8 4.022E6 2.443E6
2003 2.901E8 4.090E6 2.448E6
2004 2.928E8 4.112E6 2.397E6
2005 2.955E8 4.138E6 2.448E6
2006 2.984E8 4.266E6 2.426E6
2007 3.012E8 4.316E6 2.424E6
2008 3.041E8 4.248E6 2.472E6
2009 3.068E8 4.131E6 2.437E6
2010 3.094E8 3.999E6 2.468E6
